,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
15,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,sag,0.4242,0.0722,0.8658924679622787,0.1288900216643303,balanced,entropy,20.0,1024.0,-1.0,0.8959999999999999,0.6006461382209018,0.9151742106920899,0.47975719468940453,DecisionTreeClassifier(class_weight='balanced'),entropy,8.0,best,0.8126,0.36409103634843193,0.8230408301718708,0.48771111253307275
16,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,saga,0.5762,0.0482,0.8659076194774302,0.08603287880718745,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,10.0,best,0.8148,0.36820836734981904,0.8357840674037927,0.4935293848621566
17,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,sag,0.7596,0.42222558748919614,0.8659283987485779,0.41837532833808194,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,12.0,best,0.805,0.3580282811392409,0.8484848358507507,0.48817949915602393
18,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,saga,0.7342,0.5215,0.8659189020205155,0.15996180290297937,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,14.0,best,0.8106000000000002,0.3674994307085484,0.8505825271016085,0.49899942466937414
19,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,sag,0.8746,0.48141062368404947,0.8659869351676868,0.5191926707929696,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,16.0,best,0.8026,0.3565255849472145,0.8553862496356679,0.4893717769405237
20,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,saga,0.8766,0.4876607735433186,0.8659831472888989,0.5217927316443614,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,18.0,best,0.7988,0.3518811640801155,0.8553752194807209,0.48726560905410493
21,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,sag,0.8764,0.48714457466616407,0.8666255594260945,0.521348169290808,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,20.0,best,0.8008,0.35449875256218044,0.8611612719069377,0.48960208952345097
22,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,saga,0.8767999999999999,0.48834188871085793,0.8666255594260945,0.5214740705658854,,,,,,,,,,,,,,,,,
23,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,sag,0.8732,0.477477526257712,0.871535944889478,0.525717236286451,,,,,,,,,,,,,,,,,
24,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,saga,0.8732,0.477477526257712,0.8715397192527196,0.525717236286451,,,,,,,,,,,,,,,,,
25,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,sag,0.8666,0.4629639169534931,0.8859028055923804,0.5507571179347126,,,,,,,,,,,,,,,,,
26,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,saga,0.8666,0.4629639169534931,0.8859009116529866,0.5507571179347126,,,,,,,,,,,,,,,,,
27,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,sag,0.8562,0.4427479968848938,0.9040880085371242,0.5581917174492788,,,,,,,,,,,,,,,,,
28,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,saga,0.8562,0.4427479968848938,0.9040899024765181,0.5581917174492788,,,,,,,,,,,,,,,,,
29,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,sag,0.851,0.43552817601278815,0.910738442444927,0.5642807187015413,,,,,,,,,,,,,,,,,
30,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,saga,0.851,0.43552817601278815,0.9107365485055331,0.5642807187015413,,,,,,,,,,,,,,,,,
31,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,sag,0.8503999999999999,0.43519804082264046,0.9098141018860652,0.5659631357288815,,,,,,,,,,,,,,,,,
32,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,saga,0.8503999999999999,0.43519804082264046,0.9098197701887004,0.5659631357288815,,,,,,,,,,,,,,,,,
33,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,sag,0.8497999999999999,0.43412021857923494,0.9094944586259743,0.5650210370164427,,,,,,,,,,,,,,,,,
