,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
15,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,sag,0.4492,0.1476,0.8818528821892994,0.23691813804173356,balanced,entropy,20.0,1024.0,-1.0,0.852,0.7385488946048794,0.9054080136292079,0.6723114454482808,DecisionTreeClassifier(class_weight='balanced'),entropy,8.0,best,0.775,0.5293491982212755,0.8477205581074377,0.6282517546058572
16,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,saga,0.4492,0.1476,0.8818712126113304,0.23691813804173356,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,10.0,best,0.7859999999999999,0.5456655643205204,0.8598391235901749,0.644461471999604
17,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,sag,0.7454000000000001,0.5864477208829836,0.8818690560910915,0.5822316154167705,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,12.0,best,0.7888,0.5491160277197593,0.8688512216687153,0.6504597245513966
18,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,saga,0.6888000000000001,0.7223308351097397,0.881875525651808,0.3267040991140523,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,14.0,best,0.7912000000000001,0.5527507339754003,0.8730014448685601,0.6551885032052287
19,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,sag,0.7932,0.5556744729530156,0.8818830734726445,0.6571810113857055,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,16.0,best,0.7906000000000001,0.5517862515770255,0.8762098078540467,0.6550613614524853
20,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,saga,0.7926,0.5546379510696999,0.8818798386922861,0.654524494430049,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,18.0,best,0.7958000000000001,0.5602390548563613,0.878753962605939,0.6616320559768459
21,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,sag,0.7918000000000001,0.5531143711957633,0.8819477690798128,0.654819655931246,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,20.0,best,0.7968,0.5611141874199211,0.8800478747493046,0.6652233547089748
22,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,saga,0.7924,0.5543074487589112,0.8819456125595739,0.6542921249600747,,,,,,,,,,,,,,,,,
23,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,sag,0.7922,0.5534102822615166,0.8824836643591899,0.6563833430482233,,,,,,,,,,,,,,,,,
24,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,saga,0.7924000000000001,0.5537242250131323,0.8824847426193095,0.6566051774227647,,,,,,,,,,,,,,,,,
25,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,sag,0.7964,0.5581969337281728,0.8867179918483534,0.6674850730703213,,,,,,,,,,,,,,,,,
26,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,saga,0.796,0.5576578501702213,0.8867201483685925,0.6668367748531414,,,,,,,,,,,,,,,,,
27,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,sag,0.8042000000000001,0.5697251784985674,0.8971178107006533,0.6775454177502944,,,,,,,,,,,,,,,,,
28,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,saga,0.8042000000000001,0.5697251784985674,0.897118888960773,0.6775454177502944,,,,,,,,,,,,,,,,,
29,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,sag,0.8086,0.5770534307497821,0.9041556145004421,0.6816206901071974,,,,,,,,,,,,,,,,,
30,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,saga,0.8086,0.5770534307497821,0.9041534579802033,0.6816206901071974,,,,,,,,,,,,,,,,,
