,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.40700000000000003,0.021400000000000002,0.5,0.04132579784753697,balanced,gini,1.0,1024.0,-1.0,0.9862,0.9923076923076923,0.9962737172983556,0.7595157463104101,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.986,0.8270963327859879,0.884983527390704,0.7973716342137396
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.22139999999999999,0.028600000000000004,0.5,0.055225411747150864,balanced,gini,2.0,1024.0,-1.0,0.9889999999999999,0.955029374201788,0.9970418074789811,0.824073594893267,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.9837999999999999,0.7577433297807413,0.9072366555484234,0.7842083627064083
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.4074,0.021599999999999998,0.5,0.04169884169884169,balanced,gini,4.0,1024.0,-1.0,0.9904,0.9408493096905058,0.9969904722830517,0.8526371206478865,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.9789999999999999,0.6636437524739411,0.9297416296655756,0.7494759849998941
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.5926,0.0142,0.5,0.027426183947923077,balanced,gini,6.0,1024.0,-1.0,0.9904,0.9352084326500343,0.9959957219674717,0.8532712283242476,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.9762000000000001,0.629928164746704,0.931375135522788,0.7278253909832857
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.7786,0.0072,0.5,0.013899613899613897,balanced,gini,8.0,1024.0,-1.0,0.9902,0.9303379416282642,0.9953691429158396,0.8506534948209771,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.9712,0.5654933175147123,0.9420050623328041,0.6913802446669891
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.5863999999999999,0.09215809226350768,0.7774039248798509,0.16586676495374925,balanced,gini,12.0,1024.0,-1.0,0.99,0.9294047619047617,0.9949007527849357,0.8473198392305854,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.967,0.5240230489000981,0.9392732584745893,0.6586484114413991
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.7814,0.12960612304362304,0.8712422579248198,0.22607710022620015,balanced,gini,16.0,1024.0,-1.0,0.99,0.9294777265745008,0.9940799235509855,0.8470352225459884,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.9621999999999999,0.48675402847519367,0.9470552718833684,0.6321872131836931
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.8068,0.1459606237782152,0.8854469762507085,0.25093090639039295,balanced,entropy,1.0,1024.0,-1.0,0.9870000000000001,0.9923076923076923,0.9961889135619707,0.7755736738466724,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.952,0.42297312999273784,0.9459884628601868,0.5760196287808862
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.8084,0.14627047381575503,0.8837658256660793,0.2511602632141504,balanced,entropy,2.0,1024.0,-1.0,0.9898000000000001,0.9637383689107828,0.9967852226156946,0.8385668498168499,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.9452,0.39102400142824173,0.947517968265571,0.5461875909900035
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.8089999999999999,0.14720483379310073,0.8835720000109204,0.2527525641387614,balanced,entropy,4.0,1024.0,-1.0,0.9907999999999999,0.9414530702563157,0.996509180485128,0.8591301214822241,DecisionTreeClassifier(class_weight='balanced'),entropy,1.0,best,0.9848000000000001,0.7883460683460684,0.8951365516860111,0.7893573250767926
10,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l1,saga,0.8089999999999999,0.14720483379310073,0.8835662369864851,0.2527525641387614,balanced,entropy,6.0,1024.0,-1.0,0.991,0.9370391004010058,0.9959392578077676,0.8627066955887642,DecisionTreeClassifier(class_weight='balanced'),entropy,2.0,best,0.9827999999999999,0.7276462593186874,0.9114976532418485,0.7740738442989399
11,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l1,saga,0.8089999999999999,0.14720483379310073,0.8835543939072845,0.2527525641387614,balanced,entropy,8.0,1024.0,-1.0,0.9907999999999999,0.9365464895635673,0.9958977223128267,0.8590528494349179,DecisionTreeClassifier(class_weight='balanced'),entropy,4.0,best,0.9756,0.6178409220546012,0.9267081953364121,0.7176332035259361
12,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l1,saga,0.8089999999999999,0.14720483379310073,0.8835601569317199,0.2527525641387614,balanced,entropy,12.0,1024.0,-1.0,0.9906,0.9254951085121863,0.9952795728041895,0.8573226830861254,DecisionTreeClassifier(class_weight='balanced'),entropy,6.0,best,0.9734,0.5881283649368756,0.9346213034314694,0.7032331828063535
13,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",,none,sag,0.8089999999999999,0.14720483379310073,0.8835486308828493,0.2527525641387614,balanced,entropy,16.0,1024.0,-1.0,0.9902000000000001,0.924509898703447,0.9925182969840485,0.8511248328918486,DecisionTreeClassifier(class_weight='balanced'),entropy,8.0,best,0.967,0.5269322882770329,0.9445838572524016,0.6629329866852386
14,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",,none,saga,0.8088,0.14705408002425652,0.88356607847132,0.25253619197864596,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,10.0,best,0.9644,0.503411310911311,0.947640139605961,0.646134962472761
15,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,sag,0.593,0.0144,0.835560627870208,0.027799227799227794,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,12.0,best,0.9558,0.44366723050787576,0.9456222711588739,0.5950366957302344
16,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,saga,0.4074,0.021599999999999998,0.8355724709494087,0.04169884169884169,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,14.0,best,0.9532,0.43086344052049086,0.9536159158781006,0.5864568308796673
17,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,sag,0.7348000000000001,0.014491666666666667,0.8355780754586787,0.0227019227019227,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,16.0,best,0.9486000000000001,0.40815669148906386,0.9555569756227905,0.5647300061906771
18,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,saga,0.7786,0.0072,0.8355780754586787,0.013899613899613897,,,,,,,,,,,,,,,,,
19,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,sag,0.7362,0.1065327833982661,0.8357338356335949,0.18871197357563602,,,,,,,,,,,,,,,,,
20,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,saga,0.738,0.10779276938612488,0.8357397571731952,0.1914530945920331,,,,,,,,,,,,,,,,,
21,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,sag,0.7427999999999999,0.10911974159198874,0.8372053090465578,0.1935731573546962,,,,,,,,,,,,,,,,,
22,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,saga,0.74,0.10857595023759403,0.8372400457083341,0.1926877348578573,,,,,,,,,,,,,,,,,
23,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,sag,0.7484,0.11344295748488593,0.8490696217715545,0.2007462157717359,,,,,,,,,,,,,,,,,
24,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,saga,0.7488,0.1135418943897952,0.8490580957226841,0.20091291726106858,,,,,,,,,,,,,,,,,
25,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,sag,0.7816,0.13096705727176633,0.8789694843803696,0.22844046186024003,,,,,,,,,,,,,,,,,
26,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,saga,0.7816,0.13096705727176633,0.8789867734536753,0.22844046186024003,,,,,,,,,,,,,,,,,
27,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,sag,0.8032,0.14359029258376985,0.8898504371025817,0.24742346281573227,,,,,,,,,,,,,,,,,
28,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,saga,0.8032,0.14359029258376985,0.8898446740781465,0.24742346281573227,,,,,,,,,,,,,,,,,
29,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,sag,0.807,0.14684804214527714,0.8860864114111807,0.25244356972935356,,,,,,,,,,,,,,,,,
30,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,saga,0.807,0.14684804214527714,0.8860748853623104,0.25244356972935356,,,,,,,,,,,,,,,,,
31,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,sag,0.8084,0.1463410428285132,0.8837648745750888,0.2512548108200719,,,,,,,,,,,,,,,,,
32,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,saga,0.8084,0.1463410428285132,0.8837650330902541,0.2512548108200719,,,,,,,,,,,,,,,,,
33,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,sag,0.8089999999999999,0.14720483379310073,0.8835548694527798,0.2527525641387614,,,,,,,,,,,,,,,,,
34,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,saga,0.8089999999999999,0.14720483379310073,0.8835662369864851,0.2527525641387614,,,,,,,,,,,,,,,,,
35,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,sag,0.8089999999999999,0.14720483379310073,0.883560315446885,0.2527525641387614,,,,,,,,,,,,,,,,,
36,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,saga,0.8089999999999999,0.14720483379310073,0.8835543939072845,0.2527525641387614,,,,,,,,,,,,,,,,,
37,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,sag,0.8088,0.14705408002425652,0.8835543939072845,0.25253619197864596,,,,,,,,,,,,,,,,,
38,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,saga,0.8088,0.14705408002425652,0.8835486308828493,0.25253619197864596,,,,,,,,,,,,,,,,,
39,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,sag,0.8088,0.14705408002425652,0.8835604739620498,0.25253619197864596,,,,,,,,,,,,,,,,,
40,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,saga,0.8089999999999999,0.14720483379310073,0.8835486308828493,0.2527525641387614,,,,,,,,,,,,,,,,,
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.5928,0.014599999999999998,0.5,0.028171552183124022,balanced,gini,1.0,1024.0,-1.0,0.9814,0.9888888888888889,0.9950627948400566,0.6581367949789002,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.9822000000000001,0.7570874360348044,0.8745340000100151,0.7562388769321768
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.22159999999999996,0.028999999999999998,0.5,0.055970779982351816,balanced,gini,2.0,1024.0,-1.0,0.9837999999999999,0.9577813765182185,0.9965141395418764,0.721789446293329,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.982,0.7461238549473844,0.8842028098114014,0.7594739255827296
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.5928,0.014599999999999998,0.5,0.028171552183124022,balanced,gini,4.0,1024.0,-1.0,0.9865999999999999,0.9298706896551725,0.9965848279349269,0.7853837015918271,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.9742,0.6069349962207105,0.9186128686952746,0.7063530161228371
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.5928,0.014599999999999998,0.5,0.028171552183124022,balanced,gini,6.0,1024.0,-1.0,0.9868,0.9229394727239555,0.9963734702146982,0.7911263415911092,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.9658,0.5240443246941051,0.9195588249765259,0.6472626392882737
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.7784,0.0073999999999999995,0.5,0.014271938283510125,balanced,gini,8.0,1024.0,-1.0,0.9872,0.9188774443946859,0.9960940057442171,0.7996826162343403,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.9571999999999999,0.4574810504964236,0.9236494842071294,0.596817511440779
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.4072,0.021799999999999996,0.5,0.04207116608273792,balanced,gini,12.0,1024.0,-1.0,0.9873999999999998,0.9137606479541963,0.9956219814358119,0.8042332894417301,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.9518000000000001,0.4258226598791908,0.9255347159409768,0.5702575254716133
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.7622000000000001,0.1166876625715372,0.8429462968222807,0.20490729049849743,balanced,gini,16.0,1024.0,-1.0,0.9879999999999999,0.9102150537634408,0.994973102586435,0.8166034093880405,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.943,0.3862963145299738,0.9329901276873104,0.5350167436103833
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.7692,0.12281602241230294,0.8591065393543384,0.21516917884944933,balanced,entropy,1.0,1024.0,-1.0,0.9812000000000001,0.9789473684210528,0.9949839866818383,0.6542341467005532,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.937,0.36105721501661,0.9318925153582637,0.5102567548773794
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.7672000000000001,0.12126240009667913,0.8569888484094286,0.2126213545727314,balanced,entropy,2.0,1024.0,-1.0,0.9847999999999999,0.966066276803119,0.9964927789405724,0.7409836596862422,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.9254,0.31922435891332385,0.9374319631222334,0.4691271642265019
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.7672000000000001,0.12124635744594818,0.8565555065283611,0.21259505526349085,balanced,entropy,4.0,1024.0,-1.0,0.9863999999999999,0.929198717948718,0.9962538055758478,0.7816056780993668,DecisionTreeClassifier(class_weight='balanced'),entropy,1.0,best,0.982,0.7381848851273817,0.8929984187856371,0.7626419491103222
10,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l1,saga,0.7672000000000001,0.12124635744594818,0.8564981761534289,0.21259505526349085,balanced,entropy,6.0,1024.0,-1.0,0.9868,0.92338282247765,0.9960296473617138,0.7902582441712876,DecisionTreeClassifier(class_weight='balanced'),entropy,2.0,best,0.9808,0.702920237862587,0.9105313194103088,0.7580228392905498
11,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l1,saga,0.7674,0.12133300287051077,0.8564813368842531,0.21272967398852125,balanced,entropy,8.0,1024.0,-1.0,0.9874,0.925297619047619,0.9958462801227567,0.8020028588646854,DecisionTreeClassifier(class_weight='balanced'),entropy,4.0,best,0.975,0.6180247137375752,0.9267853220847947,0.7172915686406309
12,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l1,saga,0.7674,0.12133300287051077,0.8564925630637035,0.21272967398852125,balanced,entropy,12.0,1024.0,-1.0,0.9878,0.9257738095238095,0.9956604062083567,0.8090104346222612,DecisionTreeClassifier(class_weight='balanced'),entropy,6.0,best,0.9667999999999999,0.5311033355021781,0.9339528650106654,0.659627255617571
13,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",,none,sag,0.7644,0.11812682526433316,0.8473935946843808,0.20731956004182192,balanced,entropy,16.0,1024.0,-1.0,0.9878,0.9147056017445824,0.9954539213662027,0.8128444104914694,DecisionTreeClassifier(class_weight='balanced'),entropy,8.0,best,0.9613999999999999,0.4936302021781346,0.937562044584236,0.6306512908959053
14,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",,none,saga,0.7674,0.12133300287051077,0.8564526716967868,0.21272967398852125,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,10.0,best,0.9527999999999999,0.4389626956941914,0.9403056321532686,0.5863677943135641
