,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
15,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,sag,0.5146,0.20759075907590757,0.7599344249120996,0.2722537878787879,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,12.0,best,0.8535999999999999,0.8537546472416269,0.928244172783091,0.8532519981787449
16,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,saga,0.5004000000000001,0.0998,0.7599376249248997,0.13315543695797197,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,14.0,best,0.8522000000000001,0.8564979559502955,0.9282813680998723,0.8511089091482507
17,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,sag,0.5556,0.7529084119248054,0.7599472249664998,0.19488679829631073,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,16.0,best,0.8512000000000001,0.8534761652449022,0.9290801677126709,0.8504878172111594
18,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,saga,0.5468,0.6251213209239584,0.7599384249312997,0.5589174847700621,,,,,,,,,,,,,,,,,
19,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,sag,0.6734,0.6731945250770742,0.7599960251265004,0.6766071012247976,,,,,,,,,,,,,,,,,
20,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,saga,0.6808,0.6672011546110187,0.7599976251297006,0.6927661161841941,,,,,,,,,,,,,,,,,
21,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,sag,0.6766,0.6636508084695879,0.7605696270241081,0.6880433475840236,,,,,,,,,,,,,,,,,
22,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,saga,0.6796,0.6661111147691136,0.760565627001708,0.6916494087552318,,,,,,,,,,,,,,,,,
23,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,sag,0.6792000000000001,0.6647461632195856,0.7656424437025748,0.6920518553259749,,,,,,,,,,,,,,,,,
24,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,saga,0.6794,0.6650328153562916,0.7656536437601751,0.6921853855968843,,,,,,,,,,,,,,,,,
25,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,sag,0.6968,0.6869300384991168,0.7852369068740275,0.7040495869266332,,,,,,,,,,,,,,,,,
26,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,saga,0.6968,0.6869300384991168,0.7852361068676275,0.7040495869266332,,,,,,,,,,,,,,,,,
27,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,sag,0.7173999999999999,0.7111694981326306,0.8055921706534827,0.7209481061272669,,,,,,,,,,,,,,,,,
28,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,saga,0.7173999999999999,0.7111694981326306,0.8055897706470825,0.7209481061272669,,,,,,,,,,,,,,,,,
29,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,sag,0.7247999999999999,0.7164697964192144,0.8104081847335388,0.7294599748431516,,,,,,,,,,,,,,,,,
30,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,saga,0.7247999999999999,0.7164697964192144,0.810404984723939,0.7294599748431516,,,,,,,,,,,,,,,,,
31,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,sag,0.7252,0.7158015353232352,0.8107721859623437,0.7304844928869387,,,,,,,,,,,,,,,,,
32,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,saga,0.7252,0.7158015353232352,0.8107649859367438,0.7304844928869387,,,,,,,,,,,,,,,,,
33,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,sag,0.7248,0.7155886613907252,0.8107865860231442,0.7299895594139507,,,,,,,,,,,,,,,,,
34,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,saga,0.7248,0.7155886613907252,0.8107905860391442,0.7299895594139507,,,,,,,,,,,,,,,,,
35,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,sag,0.7248,0.7155886613907252,0.8107921860231441,0.7299895594139507,,,,,,,,,,,,,,,,,
