,LG: Accuracy,LG: Precision,LG: AUC,LG: F1,RF: Accuracy,RF: Precision,RF: AUC,RF: F1,DT: Accuracy,DT: Precision,DT: AUC,DT: F1
0,0.8094,0.15009041591320071,0.858121301243744,0.25836575875486384,1.0,1.0,1.0,1.0,1.0,1.0,0.9781165733250363,1.0
0,0.0364,0.12249614791987673,0.827731629101492,0.21704394141145145,1.0,1.0,1.0,1.0,1.0,1.0,0.9698007471980075,1.0
0,0.9626,0.13161993769470404,0.8419832205779579,0.22977566281441197,1.0,1.0,1.0,1.0,1.0,1.0,0.968314980261791,0.9589743589743589
0,0.7774,0.13507109004739337,0.8359337453080957,0.23505154639175257,1.0,1.0,1.0,1.0,1.0,1.0,0.9725628767408023,1.0
0,0.8,0.14173228346456693,0.8560526415351756,0.25038167938931294,1.0,1.0,1.0,1.0,1.0,1.0,0.9725046690184685,1.0
