,LG: Accuracy,LG: Precision,LG: AUC,LG: F1,RF: Accuracy,RF: Precision,RF: AUC,RF: F1,DT: Accuracy,DT: Precision,DT: AUC,DT: F1
0,0.7282,0.6571524513096038,0.7286277852871305,0.7324276432368575,1.0,1.0,1.0,1.0,1.0,1.0,0.8887824352830344,1.0
0,0.7126,0.7014218009478673,0.7123573757457304,0.7118236472945891,1.0,1.0,1.0,1.0,1.0,1.0,0.9248375061377322,1.0
0,0.735,0.7269489513256826,0.735073265524399,0.7348409045427257,1.0,1.0,1.0,1.0,1.0,1.0,0.9060147945601795,1.0
0,0.7304,0.7284872298624755,0.730364859863687,0.7333860759493671,1.0,1.0,1.0,1.0,0.9772,0.9921842863019333,0.8946393202172394,1.0
0,0.7324,0.7208494208494208,0.7319401837791272,0.736198738170347,1.0,1.0,1.0,1.0,1.0,1.0,0.9050224363631011,1.0
